,laptop_ID,Company,Product,TypeName,Inches,Ram,Weight,Price,Operating_System,Touchscreen,Gpu_Brand,Memory_Type,Primary_Storage,Cpu_Brand,Cpu_Speed,Resolution_Width,Resolution_Height,Price_range
0,1,Apple,MacBook Pro,Ultrabook,13.3,8,1.37,1340,MacOs,No,Intel,SSD,128GB,Intel,2.3,2560,1600,1k-2k
1,2,Apple,Macbook Air,Ultrabook,13.3,8,1.34,899,MacOs,No,Intel,Flash Storage,128GB,Intel,1.8,1440,900,0-1k
2,3,HP,250 G6,Notebook,15.6,8,1.86,575,N/A,No,Intel,SSD,256GB,Intel,2.5,1920,1080,0-1k
3,4,Apple,MacBook Pro,Ultrabook,15.4,16,1.83,2537,MacOs,No,AMD,SSD,512GB,Intel,2.7,2880,1800,2k-3k
4,5,Apple,MacBook Pro,Ultrabook,13.3,8,1.37,1804,MacOs,No,Intel,SSD,256GB,Intel,3.1,2560,1600,1k-2k
5,6,Acer,Aspire 3,Notebook,15.6,4,2.1,400,Windows,No,AMD,HDD,500GB,AMD,3.0,1366,768,0-1k
6,7,Apple,MacBook Pro,Ultrabook,15.4,16,2.04,2140,MacOs,No,Intel,Flash Storage,256GB,Intel,2.2,2880,1800,2k-3k
7,8,Apple,Macbook Air,Ultrabook,13.3,8,1.34,1159,MacOs,No,Intel,Flash Storage,256GB,Intel,1.8,1440,900,1k-2k
8,9,Asus,ZenBook UX430UN,Ultrabook,14.0,16,1.3,1495,Windows,No,Nvidia,SSD,512GB,Intel,1.8,1920,1080,1k-2k
9,10,Acer,Swift 3,Ultrabook,14.0,8,1.6,770,Windows,No,Intel,SSD,256GB,Intel,1.6,1920,1080,0-1k
10,11,HP,250 G6,Notebook,15.6,4,1.86,394,N/A,No,Intel,HDD,500GB,Intel,2.5,1366,768,0-1k
11,12,HP,250 G6,Notebook,15.6,4,1.86,345,N/A,No,Intel,HDD,500GB,Intel,2.0,1920,1080,0-1k
12,13,Apple,MacBook Pro,Ultrabook,15.4,16,1.83,2440,MacOs,No,AMD,SSD,256GB,Intel,2.8,2880,1800,2k-3k
13,14,Dell,Inspiron 3567,Notebook,15.6,4,2.2,499,Windows,No,AMD,SSD,256GB,Intel,2.0,1920,1080,0-1k
14,15,Apple,"MacBook 12""""",Ultrabook,12.0,8,0.92,1262,MacOs,No,Intel,SSD,256GB,Intel,1.2,2304,1440,1k-2k
15,16,Apple,MacBook Pro,Ultrabook,13.3,8,1.37,1519,MacOs,No,Intel,SSD,256GB,Intel,2.3,2560,1600,1k-2k
16,17,Dell,Inspiron 3567,Notebook,15.6,8,2.2,745,Windows,No,AMD,SSD,256GB,Intel,2.7,1920,1080,0-1k
17,18,Apple,MacBook Pro,Ultrabook,15.4,16,1.83,2858,MacOs,No,AMD,SSD,512GB,Intel,2.9,2880,1800,2k-3k
18,19,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,8,2.2,499,N/A,No,Nvidia,HDD,1TB,Intel,2.4,1920,1080,0-1k
19,20,Dell,XPS 13,Ultrabook,13.3,8,1.22,979,Windows,Yes,Intel,SSD,128GB,Intel,1.6,1920,1080,0-1k
20,21,Asus,Vivobook E200HA,Netbook,11.6,2,0.98,192,Windows,No,Intel,Flash Storage,32GB,Intel,1.44,1366,768,0-1k
21,22,Lenovo,Legion Y520-15IKBN,Gaming,15.6,8,2.5,999,Windows,No,Nvidia,SSD,128GB,Intel,2.5,1920,1080,0-1k
22,23,HP,255 G6,Notebook,15.6,4,1.86,258,N/A,No,AMD,HDD,500GB,AMD,1.5,1366,768,0-1k
23,24,Dell,Inspiron 5379,2 in 1 Convertible,13.3,8,1.62,819,Windows,Yes,Intel,SSD,256GB,Intel,1.6,1920,1080,0-1k
24,25,HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,8,1.91,659,Windows,No,Intel,SSD,256GB,Intel,1.8,1920,1080,0-1k
25,26,Dell,Inspiron 3567,Notebook,15.6,4,2.3,419,Windows,No,Intel,HDD,1TB,Intel,2.0,1366,768,0-1k
26,27,Apple,MacBook Air,Ultrabook,13.3,8,1.35,1099,MacOs,No,Intel,Flash Storage,128GB,Intel,1.6,1440,900,1k-2k
27,28,Dell,Inspiron 5570,Notebook,15.6,8,2.2,800,Windows,No,AMD,SSD,256GB,Intel,1.6,1920,1080,0-1k
28,29,Dell,Latitude 5590,Ultrabook,15.6,8,1.88,1298,Windows,No,Intel,SSD,256GB,Intel,1.9,1920,1080,1k-2k
29,30,HP,ProBook 470,Notebook,17.3,8,2.5,896,Windows,No,Nvidia,HDD,1TB,Intel,1.6,1920,1080,0-1k
30,31,Chuwi,"LapBook 15.6""""",Notebook,15.6,4,1.89,245,Windows,No,Intel,Flash Storage,64GB,Intel,1.44,1920,1080,0-1k
31,32,Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,14.0,2,1.65,199,Windows,No,AMD,Flash Storage,32GB,AMD,1.5,1366,768,0-1k
32,33,HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,17.3,4,2.71,439,Windows,No,AMD,HDD,500GB,AMD,2.5,1920,1080,0-1k
33,34,Dell,XPS 13,Ultrabook,13.3,16,1.2,1869,Windows,Yes,Intel,SSD,512GB,Intel,1.8,3200,1800,1k-2k
